SKU,Link,Product Name,Features,Description
10DQV,https://atrendusa.com/products/10-dual-vented,"10DQV - 10"" Dual Vented - Proudly U.S.A. Built
","[<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">SPL-Tuned</strong> 10” Dual Vented subwoofer enclosure designed for optimum bass response and low frequency reproduction.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">3/4” High Grade MDF Construction </strong>for Ultimate structural rigidity and no-flex construction.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">48 Cubic Feet Net Volume </strong>internal air space per sub is ideal for high power subs tuned at 38Hz.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">CNC Miter &amp; Dado </strong>design and construction for the ultimate in airtight precision fit of all parts which ensures a rattle and noise free environment.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Recessed Side Panels </strong>increases structural integrity, eliminates unwanted flex and vibration.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Specially Formulated Aliphatic Wood Glue </strong>to ensure an airtight seal between all MDF parts with a second application of glue around all internal joints after final assembly.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Pneumatic Applied Brad Nails </strong>to pull tight and hold the MDF parts during the glue drying process and help assure a no-leak, no-rattle air chamber.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Premium OEM Automotive Grade Carpeting </strong>for factory look and durability.</li>
<li data-mce-fragment=""1"">
<strong data-mce-fragment=""1"">Enclosure Dimensions </strong>Subwoofer Mounting Depth: 15.5”, Sub Cut Out: 9.25”, Height: 14”, Width: 30.25”, Depth: 17”, Tuning Frequency: 42Hz</li>
</ul>]",[]
10DQVDD,https://atrendusa.com/products/10dqvdd-10-digital-designs-dual-vented,"10DQVDD - 10"" Digital Designs Dual Vented - Redline-Hi Def Tuned Series
","[<ul>
<li>Exclusively designed for DD Redline-HiDef-Power Tuned </li>
<li>Will work with Power Tuned up to 2500 Series</li>
<li>DD Audio Certified Enclosures</li>
<li>Optimal enclosure size to maximize the effectiveness of your subwoofer</li>
<li>Plush Black Carpet</li>
<li>Extra bracing throughout enclosure</li>
<li>Cutout Diameter - 9.125""</li>
<li>Max Mounting Depth - 13.5""</li>
<li>Net Volume - 3.13""</li>
<li>(Height) 14.125"" x (Width) 30.5"" x (Depth) 19.5""</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High-Quality Fit and Finish</li>
</ul>]","[<p>Atrend Sub-Woofer specific enclosures are designed for particular subwoofers. The optimal way to guarantee great sound is to fit your subwoofer in the right enclosure. </p>, <p>OEM Specific boxes by Atrend are all U.S.A. Made and are designed with the collaboration of Subwoofer Manufacturers. We have done all the work necessary to ensure your woofer delivers the best sound.</p>, <p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>Our subwoofer specific enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>MDF Construction - Atrend Sub-Specific boxes feature high-quality MDF panels between 3/4"" to 1"" to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Plush Black/Standard Black/Charcoal Carpet &amp; Terminal Cups - Premium Carpeting is standard on all Subwoofer Specific Enclosures</p>]"
10SAL,https://atrendusa.com/products/10-single-medium-sealed,"10SAL - 10"" Angled Single Sealed - Proudly U.S.A. Built
","[<ul>
<li>10"" Hatchback Style Single Medium Sealed Subwoofer Enclosure</li>
<li>Completely miter and dado end panels</li>
<li>Premium carpeted finish</li>
<li>Silver spring loaded terminal cups</li>
<li>3/4"""" MDF construction</li>
<li>Glued and braced with fasteners</li>
<li>Total box volume: 0.71 cubic feet</li>
<li>Dimensions: 9-1/2""TD x 12-1/2""BD x 15-3/""""W x 14""H</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High Quality Fit and Finish</li>
</ul>]","[<p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>All of our Atrend and Bbox subwoofer enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>3/4"" MDF Construction - Atrend feature high-quality 3/4"" MDF panels to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Charcoal Carpet &amp; Terminal Cups - Premium Charcoal Carpet to match the interior of most vehicles along with premium spring-loaded terminal cups is standard on all Atrend branded product.</p>]"
10SMV,https://atrendusa.com/products/10smv-300-1-10-single-shallow-mount-vented-w-300-1sba-amp,"10SMV-300.1-10"" Single Shallow Mount Vented w/300.1SBA Amp
","[<ul>
<li><span style=""font-weight: 400;"">Pro Tuned 10” Single vented shallow mount subwoofer enclosure designed for optimum bass response and low-frequency reproduction which is ideal for lower profile sound quality subwoofers.</span></li>
<li><span style=""font-weight: 400;"">1” High-Grade MDF Front Baffle for Ultimate structural rigidity and no-flex construction.</span></li>
<li><span style=""font-weight: 400;"">0.58 Cubic Feet Net Volume internal air space is ideal for tight accurate bass reproduction.</span></li>
<li><span style=""font-weight: 400;"">CNC Miter &amp; Dado design and construction for the ultimate in an airtight precision fit of all parts which ensures a rattle and noise-free environment. </span></li>
<li><span style=""font-weight: 400;"">Recessed Side Panels increase structural integrity, eliminates unwanted flex and vibration. </span></li>
<li><span style=""font-weight: 400;"">Specially Formulated Aliphatic Wood Glue to ensure an airtight seal between all MDF parts with a second application of glue around all internal joints after final assembly.</span></li>
<li><span style=""font-weight: 400;"">Pneumatic Applied Brad Nails to pull tight and hold the MDF parts during the glue drying process and help assure a no-leak, no-rattle air chamber. </span></li>
<li><span style=""font-weight: 400;"">Premium OEM Grade Carpeting for factory look and durability.</span></li>
<li><span style=""font-weight: 400;"">Enclosure Dimensions Sub cut out: 9.125”, mounting depth: 5.250”, Height: 15.25”, Width: 22.250”, Depth: 6.75”</span></li>
</ul>]","[<p><strong><a data-mce-href=""https://cdn.shopify.com/s/files/1/0494/3577/1042/files/crew_vs_extended_cab_pickup_truck_cab_styles.pdf"" href=""https://cdn.shopify.com/s/files/1/0494/3577/1042/files/crew_vs_extended_cab_pickup_truck_cab_styles.pdf"">TRUCK CAB GUIDE</a></strong></p>, <p><strong>Atrend 10SMV 10” Single Vented / Shallow Mount Subwoofer Enclosure</strong></p>]"
10SQKV,https://atrendusa.com/products/10sqkv-kicker-10-single-vented-l5-l7,"10SQKV - Kicker-10"" Single Vented L5 / L7
","[<ul>
<li>Proudly U.S.A. Built Enclosure for Kicker Solo-Baric L5 and L7 Subwoofers</li>
<li>Built and designed to Kicker specifications with the assistance of Stillwater Factory Engineers</li>
<li>Leap simulated, tested, and approved</li>
<li>Performance, power and style delivering subwoofer specific optimization</li>
<li>Completely miter and dado panels</li>
<li>Silver spring loaded terminal cups</li>
<li>Premium carpeted finish</li>
<li>Glued and braced with fasteners</li>
<li>Total box volume: 1.42 cubic feet</li>
<li>Dimensions: 17""D x 16-1/4""W x 12-1/4""H</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High-Quality Fit and Finish</li>
</ul>]","[<p>Atrend Sub-Woofer specific enclosures are designed for particular subwoofers. The optimal way to guarantee great sound is to fit your subwoofer in the right enclosure. </p>, <p>OEM Specific boxes by Atrend are all U.S.A. Made and are designed with the collaboration of Subwoofer Manufacturers. We have done all the work necessary to ensure your woofer delivers the best sound.</p>, <p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>Our subwoofer specific enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>MDF Construction - Atrend Sub-Specific boxes feature high-quality MDF panels between 3/4"" to 1"" to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Plush Black/Standard Black/Charcoal Carpet &amp; Terminal Cups - Premium Carpeting is standard on all Subwoofer Specific Enclosures</p>]"
10SQV,https://atrendusa.com/products/10sqv-10-single-vented,"10SQV - 10"" Single Vented - Proudly U.S.A. Built
","[<ul>
<li>10"" Single Pro Series Vented Subwoofer Enclosure</li>
<li>Made in the USA</li>
<li>Completely miter and dado end panels</li>
<li>Premium carpeted finish</li>
<li>Silver spring loaded terminal cups</li>
<li>3/4"" MDF construction</li>
<li>Glued and braced with fasteners</li>
<li>Total box volume: 1.25 cubic feet</li>
<li>Dimensions: 17""D x 16-1/4""W x 12-1/4""H</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High Quality Fit and Finish</li>
</ul>]","[<p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>All of our Atrend and Bbox subwoofer enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>3/4"" MDF Construction - Atrend feature high-quality 3/4"" MDF panels to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Charcoal Carpet &amp; Terminal Cups - Premium Charcoal Carpet to match the interior of most vehicles along with premium spring-loaded terminal cups is standard on all Atrend branded product.</p>]"
10SVN,https://atrendusa.com/products/10svn-alpine-10-single-slot-vented,"10SVN - Alpine-10"" Single Slot Vented - E-S-R-X Subwoofer
","[<ul>
<li>Exclusively for Alpine Subwoofers E-S-R-X Subwoofers</li>
<li>Enclosure Type: Vented/Ported</li>
<li>Dimensions:</li>
<ul>
<li>Width: 18""</li>
<li>Height: 12""</li>
<li>Depth: 16""</li>
<li>Vent width: 1.12""</li>
<li>Vent height: 10.5""</li>
<li>Vent depth: 14""</li>
<li>Gross cubic feet per side: 1.38</li>
<li>Net cubic feet per side: 1.15</li>
</ul>
</ul>, <ul>
<li>Width: 18""</li>
<li>Height: 12""</li>
<li>Depth: 16""</li>
<li>Vent width: 1.12""</li>
<li>Vent height: 10.5""</li>
<li>Vent depth: 14""</li>
<li>Gross cubic feet per side: 1.38</li>
<li>Net cubic feet per side: 1.15</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High-Quality Fit and Finish</li>
</ul>]","[<p>Atrend Sub-Woofer specific enclosures are designed for particular subwoofers. The optimal way to guarantee great sound is to fit your subwoofer in the right enclosure. </p>, <p>OEM Specific boxes by Atrend are all U.S.A. Made and are designed with the collaboration of Subwoofer Manufacturers. We have done all the work necessary to ensure your woofer delivers the best sound.</p>, <p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>Our subwoofer specific enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>MDF Construction - Atrend Sub-Specific boxes feature high-quality MDF panels between 3/4"" to 1"" to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Plush Black/Standard Black/Charcoal Carpet &amp; Terminal Cups - Premium Carpeting is standard on all Subwoofer Specific Enclosures</p>]"
10TKV,https://atrendusa.com/products/10tkv-10-single-truck-vented,"10TKV - 10"" Single Truck Vented - Proudly U.S.A. Built
","[<ul>
<li>10"" Single Universal Truck Style Vented Subwoofer Enclosure</li>
<li>Completely miter and dado end panels</li>
<li>Premium carpeted finish</li>
<li>Silver spring loaded terminal cups</li>
<li>3/4"" MDF construction</li>
<li>Glued and braced with fasteners</li>
<li>Total box volume: 0.80 cubic feet</li>
<li>Dimensions: 5-1/4""TD x 8-1/2""BD x 20""W x 15-3/4""H</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High Quality Fit and Finish</li>
</ul>]","[<p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>All of our Atrend and Bbox subwoofer enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>3/4"" MDF Construction - Atrend feature high-quality 3/4"" MDF panels to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Charcoal Carpet &amp; Terminal Cups - Premium Charcoal Carpet to match the interior of most vehicles along with premium spring-loaded terminal cups is standard on all Atrend branded product.</p>]"
12DQV,https://atrendusa.com/products/12-dual-vented,"12DQV - 12"" Dual Vented - Proudly U.S.A. Built
","[<ul>
<li>12"" Dual Pro Series Vented Subwoofer Enclosure</li>
<li>Made in the USA</li>
<li>Completely miter and dado end panels</li>
<li>Premium carpeted finish</li>
<li>Silver spring loaded terminal cups</li>
<li>3/4"" MDF construction</li>
<li>Glued and braced with fasteners</li>
<li>Box volume: 1.45 cubic feet (per chamber)</li>
<li>Total box volume: 2.90 cubic feet</li>
<li>Dimensions: 19""D x 30-1/4""W x 13-3/4""H</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High Quality Fit and Finish</li>
</ul>]","[<p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>All of our Atrend and Bbox subwoofer enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>3/4"" MDF Construction - Atrend feature high-quality 3/4"" MDF panels to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Charcoal Carpet &amp; Terminal Cups - Premium Charcoal Carpet to match the interior of most vehicles along with premium spring-loaded terminal cups is standard on all Atrend branded product.</p>]"
12DQVDD,https://atrendusa.com/products/12dqvdd-12-digital-designs-dual-vented,"12DQVDD - 12"" Digital Designs Dual Vented - Redline-Hi Def Tuned Series
","[<ul>
<li>Exclusively designed for Redline-Hidef-PowerTuned Subs</li>
<li>Will work with up to 2500 Series Power Tuned</li>
<li>Optimal enclosure size to maximize the effectiveness of your subwoofer</li>
<li>Plush Black Carpet</li>
<li>Extra bracing throughout enclosure</li>
<li>Cutout Diameter - 11.25""</li>
<li>Max Mounting Depth - 11.5""</li>
<li>Net Volume - 3.86""</li>
<li>(Height) 16"" x (Width) 36.25"" x (Depth) 17.5""</li>
</ul>, <ul>
<li>Mitered Edge Construction Provides A Cleaner Finish and a Tighter Seal</li>
<li>Miter Joints Feature Over 41% More Surface Area Compared to a Traditional Butt Joint</li>
<li>More Surface Area Translates Into A Stronger Bond</li>
<li>Dado Joints Offer An 80% Increase in Surface Area Compared to Traditional Butt Joints</li>
<li>Unsurpassed Shear Strength To Withstand Even The Hardest Hitting Subwoofers</li>
<li>Precise, High-Quality Fit and Finish</li>
</ul>]","[<p>Atrend Sub-Woofer specific enclosures are designed for particular subwoofers. The optimal way to guarantee great sound is to fit your subwoofer in the right enclosure. </p>, <p>OEM Specific boxes by Atrend are all U.S.A. Made and are designed with the collaboration of Subwoofer Manufacturers. We have done all the work necessary to ensure your woofer delivers the best sound.</p>, <p>Why Choose Atrend?</p>, <p>From design to delivery, Atrend products are tested vigorously to ensure sound quality and accurate engineering. Working with only the latest in computer automated software and machinery, Atrend continues to be a trend setter in the marketplace. Atrend delivers quality results by utilizing only the most efficient engineering and manufacturing processes.</p>, <p>Miter &amp; Dado Construction</p>, <p>Our subwoofer specific enclosures are engineered and constructed to be the strongest on the market. Our outside panels feature our signature Miter and Dado construction, which adds extra reinforcement and structural integrity to our subwoofer enclosures. Ultimately, these construction techniques provide unsurpassed build and sound quality in Bbox enclosures.</p>, <p>Attention to Detail</p>, <p>MDF Construction - Atrend Sub-Specific boxes feature high-quality MDF panels between 3/4"" to 1"" to withstand the deepest bass.</p>, <p>Atrend's Trick Glue - Our Enclosures are built using Atrend's special blend of Trick Glue for up to 3600 PSI of holding ability while maintaining a flexible and durable seal.</p>, <p>Premium Plush Black/Standard Black/Charcoal Carpet &amp; Terminal Cups - Premium Carpeting is standard on all Subwoofer Specific Enclosures</p>]"
